ID,Name,OverallRating,NumberOfStudents,DropoutsCurr,DropoutsLast,AttendancePctCurr,AttendancePctPrev,MathPctCurr,MathPctPrev,SchoolType
822,Abernethy Elementary School,Outstanding,421,0,0,95.5,95.2,73.0,88.9,E
823,Ainsworth Elementary School,Outstanding,527,0,0,95.9,95.4,73.0,86.2,E
824,Alameda Elementary School,Outstanding,718,0,0,96.0,95.5,73.0,89.6,E
4507,Alliance High School,In Need of Improvement,235,68,55,82.1,80.8,85.1,27.7,HSG
826,Arleta Elementary School,Satisfactory,405,0,0,94.3,94.2,71.6,54.7,E
4162,Arts Communication & Technology School,In Need of Improvement,230,17,9,87.9,83.2,85.1,50.0,HSG
827,Astor Elementary School,Outstanding,448,0,0,95.2,95.0,71.6,77.6,E
828,Atkinson Elementary School,Satisfactory,412,0,0,95.3,94.8,73.0,62.3,E
830,Beach Elementary School,Satisfactory,515,0,0,95.2,94.3,71.6,63.9,E
831,Beaumont Middle School,Outstanding,474,0,0,95.2,95.8,70.3,75.3,M
906,Benson Polytechnic High School,Satisfactory,865,3,1,92.0,91.0,85.1,68.4,HSG
857,Beverly Cleary School,Outstanding,633,0,0,96.0,95.8,71.6,84.2,E
833,Boise-Eliot Elementary School,Satisfactory,343,0,0,93.5,92.8,71.6,67.5,E
834,Bridger Elementary School,Satisfactory,368,0,0,95.2,94.2,71.6,58.5,E
835,Bridlemile Elementary School,Outstanding,433,0,0,96.2,95.5,73.0,88.3,E
837,Buckman Elementary School,Outstanding,445,0,0,94.8,94.8,73.0,75.9,E
838,Capitol Hill Elementary School,Outstanding,337,0,0,95.2,95.4,73.0,79.9,E
839,Chapman Elementary School,Outstanding,513,0,0,95.0,94.5,73.0,86.8,E
840,Chief Joseph Elementary School,Satisfactory,394,0,0,95.6,94.9,73.0,62.6,E
909,Cleveland High School,Outstanding,1476,17,8,92.7,91.3,85.1,76.2,HSG
4640,Creative Science School,Outstanding,330,0,0,95.7,95.1,71.6,73.8,E
843,Creston Elementary School,Satisfactory,324,0,0,95.1,95.5,71.6,63.8,E
1363,da Vinci Middle School,Outstanding,462,0,0,98.4,94.2,70.3,77.8,M
844,Duniway Elementary School,Outstanding,395,0,0,95.6,95.4,73.0,91.1,E
3991,Emerson School,Outstanding,129,0,0,95.6,95.1,73.0,0.0,E
847,Faubion Elementary School,Satisfactory,381,0,0,94.1,94.3,71.6,50.7,E
2413,Forest Park Elementary School,Outstanding,456,0,0,96.5,96.1,73.0,91.9,E
911,Franklin High School,Satisfactory,1417,14,9,91.5,91.5,85.1,69.4,HSG
849,George Middle School,Satisfactory,358,0,0,91.5,92.6,70.3,38.7,M
850,Glencoe Elementary School,Outstanding,419,0,0,94.9,94.5,73.0,82.0,E
