year,global,AFRO,AMRO,EMRO,EURO,SEARO,WPRO
1980,4453007000,401268000,612536000,283787000,796759000,1060387000,1288011000
1981,4531799000,412903000,622914000,292571000,801809000,1085056000,1306400000
1982,4612120000,425023000,633316000,301487000,806787000,1110009000,1325541000
1983,4694097000,405618000,643765000,342491000,811735000,1135238000,1345520000
1984,4777828000,450438000,654305000,319762000,816712000,1160754000,1366349000
1985,4863290000,463557000,664962000,329168000,821749000,1186555000,1387985000
1986,4950591000,476901000,675751000,338746000,826867000,1212621000,1410542000
1987,5039478000,490480000,686653000,348474000,832019000,1238899000,1433930000
1988,5129113000,504328000,697612000,358341000,837070000,1265275000,1457587000
1989,5218375000,518498000,708559000,368338000,841844000,1291611000,1480769000
1990,5306425000,533022000,719441000,378457000,846207000,1317809000,1502913000
1991,5392939000,547917000,730219000,388702000,850140000,1343811000,1523795000
1992,5478009000,563156000,740919000,399049000,853671000,1369615000,1543505000
1993,5561744000,578654000,751609000,409449000,856772000,1395264000,1562187000
1994,5644416000,594298000,762408000,419818000,859416000,1420833000,1580128000
1995,5726239000,610013000,773382000,430104000,861615000,1446372000,1597526000
1996,5807212000,625775000,784561000,440285000,863346000,1471878000,1614421000
1997,5877260000,641618000,795894000,450395000,864668000,1497305000,1630717000
1998,5966465000,657636000,807260000,460470000,865777000,1522622000,1646329000
1999,6044931000,673943000,818504000,470594000,866927000,1547772000,1661150000
2000,6122770000,690634000,829505000,480817000,868329000,1572712000,1675112000
2001,6200003000,707740000,840223000,491149000,870025000,1597449000,1688193000
2002,6276722000,725257000,850689000,501581000,872002000,1621976000,1700477000
2003,6353196000,743186000,860934000,513173000,874275000,1646247000,1711979000
2004,6429758000,761520000,871017000,522933000,876836000,1670194000,1723568000
2005,6506649000,780260000,880977000,534083000,879669000,1693788000,1734856000
2006,6583959000,799411000,890816000,545473000,882805000,1716984000,1746117000
2007,6661637000,818990000,900524000,557133000,886217000,1739812000,1757299000
2008,6739610000,839018000,910138000,568970000,889759000,1762405000,1768381000
2009,6817737000,859523000,919712000,580862000,893232000,1784957000,1779266000
2010,6895889000,880521000,929279000,592710000,896481000,1807593000,1789891000
2011,6941907000,880521000,938647000,603398011,899442000,1830364011,1807941000
2012,7044272000,892529000,956779000,612372000,904484000,1833359000,1844750000
